,horizontal_difference,trial
2,4.113372802734375,vp1_172_Session1_d01_b02_29
0,20.908294677734375,vp1_173_Session1_d01_b02_30
1,20.908294677734375,vp1_173_Session1_d01_b02_30
2,20.908294677734375,vp1_173_Session1_d01_b02_30
0,2.373382568359375,vp1_174_Session1_d01_b02_31
1,2.373382568359375,vp1_174_Session1_d01_b02_31
2,2.373382568359375,vp1_174_Session1_d01_b02_31
0,4.450866699,vp1_175_Session1_d01_b02_32
1,4.450866699,vp1_175_Session1_d01_b02_32
2,4.450866699,vp1_175_Session1_d01_b02_32
0,3.318084716796875,vp1_176_Session1_d01_b02_33
1,3.318084716796875,vp1_176_Session1_d01_b02_33
2,3.318084716796875,vp1_176_Session1_d01_b02_33
0,0.472167969,vp1_177_Session1_d01_b02_34
1,0.472167969,vp1_177_Session1_d01_b02_34
2,0.472167969,vp1_177_Session1_d01_b02_34
0,-4.756866455,vp1_178_Session1_d01_b02_35
1,-4.756866455,vp1_178_Session1_d01_b02_35
2,-4.756866455,vp1_178_Session1_d01_b02_35
0,11.62310791015625,vp1_180_Session1_d01_b02_37
1,11.62310791015625,vp1_180_Session1_d01_b02_37
2,11.62310791015625,vp1_180_Session1_d01_b02_37
0,-9.114898682,vp1_181_Session1_d01_b02_38
1,-9.114898682,vp1_181_Session1_d01_b02_38
2,-9.114898682,vp1_181_Session1_d01_b02_38
0,-14.6008606,vp1_183_Session1_d01_b02_40
1,-14.6008606,vp1_183_Session1_d01_b02_40
2,-14.6008606,vp1_183_Session1_d01_b02_40
0,-26.8934021,vp1_184_Session1_d01_b02_41
1,-26.8934021,vp1_184_Session1_d01_b02_41
2,-26.8934021,vp1_184_Session1_d01_b02_41
0,45.863494873046875,vp1_185_Session1_d01_b02_42
1,45.863494873046875,vp1_185_Session1_d01_b02_42
2,45.863494873046875,vp1_185_Session1_d01_b02_42
0,16.567962646484375,vp1_186_Session1_d01_b02_43
1,16.567962646484375,vp1_186_Session1_d01_b02_43
2,16.567962646484375,vp1_186_Session1_d01_b02_43
0,6.296356201171875,vp1_187_Session1_d01_b02_44
1,6.296356201171875,vp1_187_Session1_d01_b02_44
2,6.296356201171875,vp1_187_Session1_d01_b02_44
0,37.606597900390625,vp1_188_Session1_d01_b02_45
